INFO:     Started server process [2164]
INFO:     Waiting for application startup.
INFO:app.main:Default development auth users ensured.
INFO:app.main:Dummy workflow seed data ensured.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:app.main:Request ID: 580afd4e-e9fe-4b8b-9348-7eb9d2342fae, Path: /api/v1/auth/login, Method: POST
INFO:app.main:Request ID: 77cfaaf6-e3d3-4c63-b1fe-327c38202999, Path: /api/v1/admin/requests, Method: GET
INFO:app.main:Request ID: 4e6a21fe-f26b-44b4-bbe3-8f3386603b1f, Path: /api/v1/auth/login, Method: POST
INFO:app.main:Request ID: 4d108b90-8ca7-4781-885b-3e970b29f81c, Path: /api/v1/recipients/me, Method: GET
INFO:app.main:Request ID: ee632585-e420-4331-97f3-c5cc431c02a0, Path: /api/v1/auth/login, Method: POST
INFO:app.main:Request ID: 02463d16-4164-4d39-a39c-5ddda1e0cd61, Path: /api/v1/donors/me/recipient-requests, Method: GET
INFO:app.main:Request ID: d5bdd7c8-81ac-4a47-b013-c8aef21220e9, Path: /api/v1/admin/requests, Method: GET
INFO:app.main:Request ID: 8a5c522a-b1c2-467c-a52d-458e3a41799a, Path: /api/v1/admin/requests, Method: GET
INFO:app.main:Request ID: e34ca442-07f0-4df6-8b65-6bfa6222a420, Path: /api/v1/admin/donor-requests, Method: OPTIONS
INFO:app.main:Request ID: 79977457-ffb2-4490-8eb5-6f758b27ba98, Path: /api/v1/admin/donor-requests, Method: GET
INFO:app.main:Request ID: 1d74a2ad-0c12-47ee-8680-70e78d8ec80b, Path: /api/v1/admin/schedules, Method: OPTIONS
INFO:app.main:Request ID: c860af14-b0e5-4736-944b-46fcde4ecf87, Path: /api/v1/admin/schedules, Method: GET
INFO:app.main:Request ID: dc97916c-efdf-46c9-b69f-1c57ad1feeb0, Path: /api/v1/auth/login, Method: OPTIONS
INFO:app.main:Request ID: a4405e21-9943-4149-b5f0-e9b0fe341a8b, Path: /api/v1/auth/login, Method: POST
INFO:app.main:Request ID: 1c06fef0-e864-418d-9e59-52ea8754153b, Path: /api/v1/recipients/me, Method: OPTIONS
INFO:app.main:Request ID: c3893dc8-4531-48a5-a581-cc6f82a335cb, Path: /api/v1/requests, Method: OPTIONS
INFO:app.main:Request ID: c3c28e39-8dee-4c28-b2f9-b877808c3f43, Path: /api/v1/recipients/me, Method: OPTIONS
INFO:app.main:Request ID: e2013d6f-3598-46ca-89b5-ea54b5dc5b25, Path: /api/v1/requests, Method: OPTIONS
INFO:app.main:Request ID: 1ef22625-7e3e-42aa-9a9f-aaa623673063, Path: /api/v1/recipients/me, Method: GET
INFO:app.main:Request ID: e5c13e39-16db-4eec-b97c-d8d175c6312b, Path: /api/v1/requests, Method: GET
INFO:app.main:Request ID: 044fbd8b-4e3f-47bc-a9a7-1412e09c3120, Path: /api/v1/recipients/me, Method: GET
INFO:app.main:Request ID: 1095947a-2b50-47a0-a1ba-beda90f7b6ab, Path: /api/v1/requests, Method: GET
INFO:app.main:Request ID: 32461c2f-ebf8-4b0c-ace1-1b53c4adadaa, Path: /api/v1/auth/login, Method: POST
INFO:app.main:Request ID: f48732c2-b502-4fc3-b4f5-62f18788421b, Path: /api/v1/auth/me, Method: OPTIONS
